breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Gordon Setter,"Gordon adalah setter terbesar dan paling kokoh—jantan bertubuh besar mungkin memiliki tinggi bahu 27 inci dan berat 80 pon. Bulu yang menakjubkan berwarna hitam berkilau, dengan corak coklat dan rambut panjang di telinga, perut, kaki, dada, dan ekor. Bintik-bintik kecoklatan di atas mata coklat terang menunjukkan ekspresi bijak dan penuh kemauan. Seperti ras Skotlandia lainnya, mulai dari Scottish Terrier yang kompak hingga Scottish Deerhound yang megah, Gordon diciptakan untuk tahan terhadap medan yang sulit dan cuaca buruk di kampung halamannya. Gordon Setter, pembalas kulit hitam di Dataran Tinggi, adalah anjing burung besar yang diberi nama sesuai nama bangsawan Skotlandia. Atletis dan suka beraktivitas di luar ruangan, Gordon adalah orang yang berani, percaya diri, dan tegas di lapangan, serta penuh kasih sayang di dekat api unggun.","Penyayang, Percaya Diri, Berani",115,58.42,68.58,20.41165665,36.2873896,12.0,13.0,Sporting Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Grand Basset Griffon Vendéen,"Pertama, mari kita bahas namanya. Jika diterjemahkan secara kasar, artinya adalah “Anjing Vendée yang besar, rendah, dan berbulu lebat” dan diucapkan “Grand-Bah-SAY Gree-FOHN VON-day-uhn.” Sekarang, mari kita lihat anjingnya: Dia adalah seekor anjing berwajah manis, bertelinga panjang, dan mengenakan mantel lusuh yang kumis, janggut, dan alisnya yang tebal menunjukkan penampilan orang Prancis yang duniawi namun ramah. Di balik pesona Grand’s Old World terdapat seekor jagoan yang kokoh dan tegap, yang tampak cepat dan berkaki ringan. Stamina dan keberanian para pemburu yang bertubuh lebih panjang dari tinggi ini adalah legenda Galia. Grand Basset Griffon Vendéen adalah anjing pengharum Perancis. Agak aktif dan tidak pernah tegang, namun GBGV adalah anjing sibuk yang tidak mudah lelah.","Mandiri, Bahagia, Ramah",177,39.37,45.72,18.1436948,20.41165665,13.0,15.0,Hound Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.4,Mandiri,0.8,Ramah
Great Dane,"Dengan tinggi 32 inci di bahu, anjing Denmark lebih tinggi dari kebanyakan anjing lainnya—dan ketika berdiri dengan kaki belakangnya, mereka lebih tinggi daripada kebanyakan orang. Raksasa perkasa ini adalah gambaran keanggunan dan keseimbangan, dengan langkah mulus dan mudah yang terlahir sebagai bangsawan. Mantelnya hadir dalam berbagai warna dan pola, mungkin yang paling terkenal adalah pola tambal sulam hitam-putih yang dikenal sebagai “harlequin”. Meskipun sifatnya manis, orang Denmark adalah penjaga rumah yang waspada. Melihat raksasa yang lembut ini biasanya sudah cukup membuat penyusup berpikir dua kali. Namun mereka yang cukup bodoh untuk salah mengira keramahan ras ini sebagai kelembutan akan menghadapi musuh yang kuat yang memiliki keberanian dan semangat sejati. Sabar dengan anak-anak, orang Denmark adalah orang yang senang berteman dan mudah berteman. Great Dane yang santai, “Apollo of Dogs” yang perkasa, benar-benar menyenangkan untuk dijalani—tetapi memiliki seekor anjing dengan ukuran, berat, dan kekuatan yang luar biasa adalah sebuah komitmen yang tidak bisa dianggap enteng. Trah ini memang bagus, tapi bukan orang Denmark.","Ramah, Sabar, Dapat Diandalkan",16,71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,Working Group,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Great Pyrenees,"Sering digambarkan sebagai ""agung"", Pyrs adalah anjing gunung yang besar dan sangat kuat dengan tinggi bahu mencapai 32 inci dan sering kali memiliki berat lebih dari 100 pon. Penjaga yang teguh ini biasanya menunjukkan ketenangan seperti Zen, namun mereka dapat dengan cepat bertindak dan bergerak dengan anggun dan cepat untuk menghadapi ancaman. Mantel subur tahan cuaca semuanya berwarna putih, atau putih dengan corak warna abu-abu, cokelat, coklat kemerahan, atau luak yang indah. Great Pyrenees adalah anjing pekerja yang besar, berbulu tebal, dan sangat kuat yang dibiakkan untuk mencegah serigala pencuri domba dan predator lainnya di puncak gunung bersalju. Pyrs saat ini adalah sahabat yang lembut dan penjaga rumah dan keluarga yang waspada.","Cerdas, Sabar, Tenang",66,63.5,81.28,38.55535145,45.359237,10.0,12.0,Working Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Greater Swiss Mountain Dog,"“Lebih besar” dari apa? Ya, dengan tinggi badan mencapai 28,5 inci dan berat sama dengan manusia berukuran sedang, orang Swiss Raya mungkin lebih besar dari Anda. Orang Swiss sangat kuat, namun cukup lincah untuk menggerakkan kawanan domba melintasi lereng gunung. Bulunya berwarna tiga warna yang mencolok—hitam, merah, dan putih. Kepala dan moncongnya biasanya memiliki tanda putih (“api”), yang menimbulkan ekspresi manis. Beberapa ras anjing gunung besar dideskripsikan sebagai “agung”, tetapi orang Swisslah yang menciptakan kata tersebut. Anjing Gunung Greater Swiss adalah anjing pekerja besar dan sangat kuat yang terkenal karena bulunya yang lebat dengan corak hitam, merah, dan putih yang mencolok. Orang-orang Swiss yang dapat diandalkan dan setia mendapatkan makanan mereka sebagai penggembala, pengangkut barang, dan anjing penggembala yang serba bisa.","Setia, Berorientasi Keluarga, Dapat Diandalkan",74,59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,Working Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Greyhound,"Anjing greyhound adalah inti dari kredo peternak anjing “Bentuk mengikuti fungsi”. Dari tengkorak yang sempit dan aerodinamis hingga bantalan kaki yang menyerap guncangan, Anjing Greyhound dibuat dengan sempurna untuk pengejaran kecepatan tinggi. Keindahan ramping dari bentuk “S terbalik” Greyhound, yang diciptakan oleh dada dalam yang melengkung lembut ke pinggang yang rapat, telah menjadi objek daya tarik bagi seniman, penyair, dan raja selama manusia menyebut diri mereka beradab. Anjing greyhound adalah pola yang digunakan oleh anjing pemburu lainnya. Juara sprinter dogdom, ras anjing Greyhound adalah sahabat yang lembut, mulia, dan pemarah dengan semangat mandiri. Selama ribuan tahun, anjing anggun ini telah menjadi objek daya tarik bagi para seniman, penyair, dan raja.","Lembut, Mandiri, Mulia",145,68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.4,Mandiri,0.8,Ramah
Hamiltonstovare,"Hamiltonstovare umumnya adalah anjing serba guna; mereka adalah pemburu, anjing pertunjukkan, dan hewan peliharaan, semuanya dalam satu paket kecil yang anggun dan serbaguna. Sebagai anjing pemburu, mereka mengikuti hidungnya ke mana pun ia pergi (dan tidak akan kembali untuk waktu yang lama), jadi kalung anjing dan pagar adalah suatu keharusan bagi ras ini. Tidak seperti kebanyakan anjing pemburu aroma, Hamiltonstovare memiliki dorongan mangsa yang sangat tinggi baik untuk penciuman maupun penglihatan. Mereka bisa menjadi umpan yang bagus untuk anjing pemburu. Di rumah, mereka adalah anjing yang malas, tidak banyak perawatan, dan jarang rontok. Sangat termotivasi oleh makanan, mereka mudah dilatih meskipun anjing mereka keras kepala, tetapi tingkat kepatuhan kompetitif yang lebih tinggi biasanya bukan suatu pilihan. Satu-satunya masalah besar pada trah ini adalah aksesibilitas; hanya ada satu peternak Hamiltonstovare di Amerika Serikat. Sayangnya, Hamiltonstovare juga memiliki masalah penyelamatan di AS, dan beberapa dapat ditemukan di tempat penampungan pedesaan di Virginia, North Carolina, West Virginia, Kentucky, South Carolina, dan Tennessee. Detail Kontak KlubKlub: Hamiltonstovare Club of AmericaNama: Ashley HammockEmail: OceaniaHamilton@hotmail.comAlamat: 2311 Chapel Hill Rd, Goochland, Va 23063 Hamiltonstovare adalah anjing pemburu aroma serbaguna, dibiakkan untuk berburu kelinci dan rubah di Swedia. Saat tidak berburu, mereka dapat ditemukan di arena pertunjukan, karena warnanya yang mencolok menjadikan mereka anjing pertunjukan yang menakjubkan. Hamilton telah digunakan sebagai anjing penolong di Amerika sejak akhir tahun 90an, di mana keserbagunaan dan ikatan erat mereka dengan masyarakatnya sangat menonjol.","Tangkas, Serbaguna, Regal",,48.26,60.96,18.1436948,34.01942775,14.0,17.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.2,Jarang,0.8,Energik,0.6,Menyenangkan,0.8,Ramah
Hanoverian Scenthound,"Berasal dari Jerman, The Hanoverian Scenthound adalah Hannoverscher Schweißhund dalam bahasa aslinya. Secara umum, Hanoverian yang sangat efisien berukuran sedang-besar, proporsional, dan bertenaga. Tungkai depan dan belakang yang berotot dan kuat membuatnya memenuhi syarat untuk bekerja tanpa lelah. Dadanya yang lebar dan dalam memberikan ruang yang cukup untuk paru-paru dan memungkinkan pengejaran yang lama dan berat. Dahi yang sedikit berkerut dan mata yang jernih dan gelap menghasilkan ekspresi serius khas Hanoverian Scenthound. Yang juga khas dari ras ini adalah warna bulu utama merah, yang dapat bervariasi dari warna coklat kekuningan pucat hingga belang-belang gelap, tampak hampir hitam. Scenthound Hanoverian memiliki temperamen yang tenang dan percaya diri, pada saat yang sama sensitif terhadap pawangnya, dan pilih-pilih serta cerdas terhadap orang asing. Dia memiliki kemampuan konsentrasi yang tinggi dalam setiap pekerjaan pelacakan dengan loyalitas yang kuat kepada pemburu yang bertanggung jawab.","Setia, Mandiri, Tenang",,48.26,53.34,35.83379723,44.905644630000005,10.0,14.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.2,Jarang,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Harrier,"Agak menyerupai Beagle dengan keanggotaan gym, Harrier adalah anjing yang lebih besar dan lebih kuat daripada sepupu mereka yang kecil—tetapi lebih kecil dari English Foxhound, ras yang digunakan dalam perkembangan mereka. Dengan tinggi antara 19 dan 21 inci di bahu, Harrier memiliki tampilan abadi seperti anjing pemburu pekerja: mantel pendek yang tampak cerdas; telinga yang rendah dan lembut; wajah manis yang tak tertahankan; dan otot serta otot yang cukup untuk bertahan seharian berburu. Harrier yang berbadan tegap akan melintasi tanah dengan gaya berjalan yang mulus dan efisien. Harrier adalah anjing pemburu mangsa berukuran sedang yang cepat dan digerakkan oleh mangsa, pertama kali dibiakkan di Inggris abad pertengahan untuk mengejar kelinci. Ramah dan bersahabat, Harrier jauh lebih besar daripada Beagle tetapi lebih kecil dari kerabat dekat lainnya, English Foxhound.","Ramah, Ramah, Berorientasi pada Orang",189,48.26,53.34,20.41165665,27.2155422,12.0,15.0,Hound Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,1.0,Membutuhkan Banyak Aktivitas,0.8,Pelatihan Mudah,0.8,Ramah
Havanese,"Ciri khas suku Havanese termasuk ekor yang melengkung dan bulu halus yang indah, yang tersedia dalam berbagai warna. Beberapa pemilik senang mengikat bulunya, seperti Puli, dan yang lain memotongnya pendek untuk mengurangi waktu perawatan. Untungnya, Havenese sama lucunya, apa pun tatanan rambut yang Anda berikan kepada mereka. Tubuh mereka yang kecil namun kokoh, sifat mudah beradaptasi, dan keterampilan sosial menjadikan Havanese anjing kota yang ideal, tetapi mereka puas berada di mana saja sehingga mereka dapat menarik perhatian pengagumnya yang masih muda. dan sama-sama tua. Orang Hava yang ekstrovert, cerdas, dan mudah dilatih dengan naluri komikal seperti badut yang terlahir, adalah anjing penipu alami. Orang Havan juga merupakan anjing penjaga yang sangat baik dan melakukan pekerjaan dengan serius, namun biasanya akan meminimalkan gonggongan. Havanese, satu-satunya ras anjing asli Kuba, adalah anjing kecil yang ceria dengan langkah yang cepat dan kilau di mata coklatnya yang besar. Teman yang lincah dan mudah bergaul ini menjadi sangat populer di kalangan penduduk kota di Amerika.","Cerdas, Ramah, Lucu",24,21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,Toy Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.4,Sesekali,0.6,Latihan rutin,0.8,Pelatihan Mudah,1.0,Keluar
Hokkaido,"Hokkaido adalah anjing berukuran sedang dan bertubuh kekar. Mereka memiliki bulu yang lebih panjang dan tebal dibandingkan ras Jepang lainnya, dan juga memiliki dada yang lebih lebar dan telinga yang lebih kecil. Seperti semua Nihon Ken, mereka memiliki lapisan ganda yang terbuat dari bulu pelindung bagian luar yang kasar, dan lapisan bawah yang halus dan tebal yang rontok secara musiman. Trah ini hadir dalam beberapa warna: putih, merah, hitam, belang-belang, wijen, dan abu-abu serigala. Dengan pelatihan awal, Hokkaido menjadi pendamping yang sangat setia dan berdedikasi yang ingin menyenangkan keluarga manusianya. Mereka adalah pemikir dan pemecah masalah yang sangat cerdas, dan mereka unggul dalam tugas yang diberikan kepada mereka. Namun, jika tidak disosialisasikan dengan baik, Hokkaido bisa menjadi waspada terhadap orang asing dan melindungi keluarga mereka. Trah ini sangat langka di luar negara asalnya. Di Jepang, populasinya diperkirakan sekitar 10.000-12.000 jiwa, dan pendaftaran tahunan antara 900-1.000 jiwa. Hokkaido adalah anjing yang memiliki daya tahan dan martabat yang luar biasa. Temperamennya setia, patuh, sangat waspada, dan berani. Dia juga menunjukkan penilaian yang akurat dan stamina yang hebat.","Bermartabat, Waspada, Berbakti",,45.72,50.8,19.95806428,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,,nan,,nan
Hovawart,"Secara fisik, Hovawart adalah anjing besar dan bertulang berat yang dibiakkan untuk menjadi penjaga ternak dan rumah yang cerdas. Tersedia dalam tiga warna: pirang, hitam dan cokelat, dan hitam. Mereka waspada, setia, dapat dipercaya, sangat cerdas, suka bersenang-senang, dan keras kepala. Seorang Hovawart senang jika ada pekerjaan yang harus diselesaikan, atau dia akan menggunakan sifat kreatifnya untuk menemukannya. Mereka membutuhkan waktu sekitar dua tahun untuk menjadi dewasa. Saat ini, Hovawarts di Amerika Utara berpartisipasi dalam organisasi pencarian dan penyelamatan, aktivitas anjing terapi, uji kepatuhan, uji ketangkasan, pelatihan bola terbang dan anjing penolong. Memiliki Hovawart bisa menjadi tantangan yang cukup besar, dan memerlukan banyak waktu serta perhatian dari pemiliknya, sehingga tidak disarankan untuk pemilik anjing yang baru pertama kali memeliharanya. Namun, bagi pemilik yang bersedia mengerahkan upaya untuk mengajari anjingnya perilaku yang pantas dalam berbagai situasi, imbalannya adalah pendamping yang setia. Hovawart adalah anjing keluarga. Ia mengembangkan ikatan yang kuat dengan “kelompoknya” dan harus menjadi bagian dari kehidupan keluarga; ia perlu menjalin ikatan erat dengan pemilik/keluarga.  Jika sudah terintegrasi dengan baik ke dalam keluarga, ia tidak keberatan menghabiskan waktu sesekali di kandang. Detail Kontak KlubKlub: Klub Hovawart Amerika UtaraEmail: info@hovawartclub.org Hovawart adalah anjing pekerja bertemperamen sedang dengan penggunaan serbaguna dan memiliki hidung yang sangat bagus. Dia baik hati, memiliki watak yang tenang dan naluri protektif, percaya diri dan memiliki kemampuan untuk mengatasi stres. Proporsi tubuhnya yang seimbang dan pengabdiannya yang khusus kepada keluarganya menjadikannya anjing pendamping, penjaga, penjaga, pelacak, dan penyelamat yang luar biasa.","Waspada, Setia, Cerdas",,58.42,71.12,29.48350405,40.8233133,10.0,14.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.6,Latihan rutin,0.2,Mungkin keras kepala,0.4,Dicadangkan dengan Orang Asing
Ibizan Hound,"Orang Ibizan adalah pengunjung yang lincah dan berkaki panjang sejak awal peradaban. Pelajar sejarah seni akan mengenali kepala yang memanjang, dengan telinga tegak yang besar, sebagai motif yang familiar dari Mesir kuno. Tubuhnya yang elegan dan bersemangat memiliki tinggi 22,5 hingga 27,5 inci di bahu, dengan warna bulu merah atau putih solid, atau pola merah dan putih. Kulit hidung, tepi mata, dan bibir berwarna kemerahan—bersama dengan mata kuning atau karamel—melengkapi mantel dengan sempurna. Keanggunan trah ini sering digambarkan seperti rusa. Ibizan Hound adalah pengunjung yang lincah dan berkaki panjang dari awal peradaban, dibesarkan sebagai kelinci pemburu di pantai berbatu Kepulauan Balearic Spanyol. Pelari dan pelompat kelas dunia, penduduk Ibizan membutuhkan ruang yang luas untuk mengeluarkan udara dari mesin mereka.","Berorientasi Keluarga, Pemarah, Sopan",152,57.15,69.85,20.41165665,22.6796185,11.0,14.0,Hound Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,1.0,Membutuhkan Banyak Aktivitas,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Icelandic Sheepdog,"Orang Islandia adalah salah satu dari 50 atau lebih ras utara dari seluruh dunia yang diklasifikasikan sebagai anjing meludah. Kekejaman ras ini terlihat dari bulunya yang tebal, wajah rubah, telinga lancip, dan ekor yang lebat dan melengkung. Orang Islandia, yang tingginya tidak lebih dari 18 inci di bahu, berada di bawah ukuran yang kami anggap berukuran sedang. Tersedia dalam beberapa warna dominan, selalu disertai tanda putih. Ciri yang menawan adalah ekspresi wajahnya: ramah, bahagia, selalu terlihat seolah-olah tidak ada tempat yang mereka sukai selain bersama Anda. Anjing Gembala Islandia, satu-satunya ras anjing asli Islandia, adalah penggembala berukuran kecil hingga sedang yang sangat ramah dan setia. Ras jenis Nordic Spitz yang memiliki lapisan bulu yang padat, orang Islandia sangat antusias mengabdi pada manusianya.","Ramah, Menyenangkan, Ingin Tahu",155,41.91,45.72,11.33980925,13.6077711,12.0,14.0,Herding Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,1.0,Ingin menyenangkan,0.8,Ramah
Irish Red and White Setter,"Para olahragawan tergetar saat melihat sang bangsawan Merah Putih membeku di tempat, tak bergerak seperti patung. Anjing burung berukuran sedang hingga besar ini kuat, kokoh, dan berotot, dengan stamina dan naluri burung yang cukup untuk menyelesaikan pekerjaan setiap hari dalam seminggu dan dua kali pada hari Minggu. Mantel yang menakjubkan—“pulau” berwarna merah cerah yang mengapung di lautan putih mutiara—memiliki fungsi praktis: Memungkinkan pemburu untuk melihat anjingnya dari kejauhan. Wajah tampannya menunjukkan ekspresi tajam namun ramah. Irish Red and White Setter yang beramai-ramai adalah anjing burung atletik berukuran sedang yang dibiakkan terutama untuk berburu. Orang Merah Putih Irlandia yang suka bersenang-senang, ramah, dan bersemangat tinggi sedikit lebih pendek dan kekar daripada sepupu mereka, Setter Irlandia.","Berani, Bersemangat, Bertekad",146,57.15,66.04,15.875732950000002,27.2155422,11.0,15.0,Sporting Group,0.4,Menyikat Gigi Mingguan,,nan,1.0,Membutuhkan Banyak Aktivitas,0.8,Pelatihan Mudah,0.8,Ramah
Irish Setter,"Irish Setter telah digambarkan oleh para pendukungnya sebagai ras anjing yang paling cantik. Berdiri lebih dari dua kaki di bahu, dengan tubuh kokoh namun elegan, orang Irlandia terkenal dengan lapisan kayu mahoni atau kastanye yang cemerlang. Kaki yang panjang dan berotot serta penggerak belakang yang bertenaga membantu menempatkan anjing Irlandia ini di antara anjing olah raga tercepat. Kepribadian menawan dari Irish Setter telah membuat ras ini disayangi oleh para olahragawan dan pemilik hewan peliharaan selama lebih dari 200 tahun. Orang Irlandia adalah anjing ramah yang senang berteman. Gadis berambut merah yang cerewet ini berjiwa besar, tapi mereka sangat ingin menyenangkan dan akan merespons pelatihan yang sabar dan positif. Mereka dikatakan sebagai mitra berburu yang berani dan tangguh, dengan pendekatan yang sangat peduli terhadap pekerjaan mereka. Irish Setter adalah gundog bersemangat tinggi yang dikenal karena keanggunan, kecepatan, dan mantel merahnya yang mencolok. Mereka terkenal sebagai anjing keluarga yang baik: sahabat yang pemarah bagi orang-orang, dan teman bermain yang beramai-ramai serta pengambil bola tenis untuk anak-anak.","Aktif, Ramah, Manis Hati",77,63.5,68.58,27.2155422,31.751465900000003,12.0,15.0,Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.6,Menyenangkan,1.0,Keluar
Irish Terrier,"Irish Terrier adalah prototipe anjing terrier berkaki panjang. Berdiri sekitar 18 inci di bahu, mereka kokoh namun lentur dan anggun. Setiap garis bodinya menarik perhatian, dan gambaran keseluruhannya sangat seimbang. Mantel merah ketat sama berapi-apinya dengan temperamen ras ini. Ini adalah kesenangan bagi pecinta anjing: Jika hati Anda tidak merasa kasihan saat melihat anjing terrier Technicolor ini dibingkai dengan tanaman hijau cerah di pedesaan Irlandia, lupakan anjing dan belilah ikan mas. Irish Terrier, “Daredevil” dari Emerald Isle, adalah anjing terrier yang berani, gagah, dan berani dengan ukuran sedang. Dikenal karena mantel merahnya yang menyala-nyala dan temperamennya yang serasi, Irish Terrier tegas di tempat kerja dan berhati lembut di rumah.","Berani, Gagah, Lembut hati",116,45.72,45.72,11.33980925,12.24699399,13.0,15.0,Terrier Group,0.2,Sesekali Mandi/Sikat,,nan,0.6,Latihan rutin,0.6,Menyenangkan,0.6,Waspada/Responsif
Irish Water Spaniel,"Dengan tinggi bahu 21 hingga 24 inci dan berat 55 hingga 65 pon, Irish Water Spaniel berada di garis antara anjing “sedang” dan “besar” dalam skala ukuran kami. Di antara ciri-cirinya yang membedakan adalah bulunya yang melengkung tajam, berwarna hati, dan tahan air; “ekor tikus” yang meruncing; dan kepala yang dipahat rapi, dimahkotai dengan jambul ikal yang panjang dan longgar. IWS bergerak dengan gaya berjalan yang mulus, memungkinkan dia melakukan pekerjaan seharian di lapangan. Anjing spaniel AKC yang tertinggi, Irish Water Spaniel langsung dikenali dari bulunya yang melengkung tajam dan “ekor tikus” yang meruncing. Di antara perenang dogdom juara, IWS yang waspada dan ingin tahu adalah pekerja keras dan berani di lapangan, dan penuh kasih sayang di rumah.","Ceria, Pekerja keras, Berani",159,53.34,60.96,20.41165665,30.84428116,12.0,13.0,Sporting Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,0.8,Pelatihan Mudah,0.4,Dicadangkan dengan Orang Asing
Irish Wolfhound,"Irish Wolfhound yang ramah adalah anjing besar dan berotot yang dibangun dengan anggun di sepanjang garis Greyhound klasik, mampu berlari dengan kecepatan tinggi. Laki-laki mungkin berdiri hampir 3 kaki di bahu dan beratnya mencapai 180 pon. Betina akan berlari lebih kecil tetapi masih banyak anjing. Bulunya yang kasar dan keras memiliki banyak warna, termasuk putih, abu-abu, belang-belang, merah, hitam, dan coklat kekuningan. IW terlalu tenang untuk menjadi anjing penjaga yang galak, tetapi hanya dengan melihatnya saja sudah cukup untuk menghalangi penyusup. IW biasanya sabar terhadap anak-anak, meskipun hewan seukuran mereka harus diawasi saat berada di dekat anak kecil. Memiliki Anjing Wolfhound Irlandia adalah pengalaman yang unik dan bermanfaat—tetapi mendapatkan anjing raksasa yang berlari kencang adalah sebuah komitmen yang sama besarnya dengan anjing itu sendiri. Irish Wolfhound yang tenang, bermartabat, dan baik hati adalah ras AKC yang tertinggi. Dulunya merupakan pemburu hewan besar yang tak kenal takut yang mampu mengirim serigala dalam satu pertarungan, Wolfhound saat ini adalah teman yang paling tenang dan menyenangkan.","Berani, Bermartabat, Tenang",76,76.2,81.28,47.62719885,54.4310844,6.0,8.0,Hound Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.6,Waspada/Responsif
Italian Greyhound,"IG adalah miniatur Greyhound—lebih ramping, tetapi Greyhound setara dalam keanggunan dan keanggunan. Berdiri idealnya 13 hingga 15 inci di bahu, mereka menghadirkan garis-garis halus dan melengkung yang umum terjadi pada semua anjing pemburu. Ciri khasnya adalah kakinya yang panjang dan bertulang halus. IG menggabungkan perhatian anjing piaraan dengan kompleksitas anjing aristokrat kuno. Dibesarkan selama berabad-abad untuk menjadi sahabat dan pelawak yang penyayang, para pemikat tingkat tinggi ini tidak mau diabaikan. “Secara keseluruhan,” tulis seorang pakar IG, “trah ini lebih suka berada di pangkuan atau tempat tidur Anda daripada di lantai.” Namun, mereka adalah anjing pemburu sejati dan akan mengejar mangsa yang bergerak cepat jika dijatuhkan oleh seekor kucing. Trah berbulu pendek dan rendah lemak, IG membutuhkan perawatan ekstra dalam cuaca dingin. Miniatur Greyhound sejati, Italian Greyhound yang elegan adalah teman mainan yang waspada, ceria, dan sangat penuh kasih sayang. IG adalah anjing sofa dekoratif, tetapi pada dasarnya mereka adalah anjing yang berlari cepat dengan naluri mengejar.","Ceria, Waspada, Sensitif",73,33.02,38.1,3.17514659,6.35029318,14.0,15.0,Toy Group,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.2,Menyendiri/Waspada
Jagdterrier,"Jagdterrier adalah anjing pemburu serbaguna dari Jerman. Dalam bahasa Jerman, jagdterrier secara harfiah berarti “berburu terrier.” Dia sangat cocok untuk berburu di bawah tanah dan sebagai anjing pembilas dan relatif kecil, kompak, dan proporsional. Bulunya yang lebat, keras dan kasar atau halus dan halus, biasanya berwarna hitam dan cokelat, tetapi bisa juga berwarna coklat tua atau hitam keabu-abuan. Tanda kecokelatan terdapat di alis, moncong, dada, kaki, dan di pangkal ekornya. Dia juga mungkin memiliki tanda putih kecil di dada dan jari kakinya. Juga dikenal sebagai Deutscher Jagdterrier, Jagdterrier pemberani, tangguh, vital, penuh temperamen, dapat diandalkan, mudah bergaul, dan dapat dilatih. Dia selalu menikmati pekerjaannya.","Berani, Cerdas, Pekerja keras",,33.02,40.64,7.71107029,9.97903214,10.0,12.0,Foundation Stock Service,,nan,,nan,,nan,,nan,,nan
Japanese Chin,"Chin adalah bangsawan keturunan Jepang yang tak tertandingi. Mereka adalah teman kecil yang “berada di dalam ruangan”, dengan tampilan dan sikap khas Timur. Kepalanya besar, moncongnya pendek, dan matanya yang bulat dan gelap menunjukkan, seperti yang sering dikatakan oleh para penggemar Chin, “tampilan keheranan.” Surai lebat di sekitar leher dan bahu, ekor berbulu melengkung di punggung, dan celana atau “kulot” di kaki belakang menunjukkan penampilan elegan dan eksotis yang menjadi ciri khas jajaran produk pelukan laptop kerajaan Asia. Dagu Jepang adalah mainan pendamping yang menawan dengan bulu yang halus dan tebal serta sikap aristokrat yang jelas. Sering digambarkan sebagai ras “kucing”, anjing piaraan yang cerdas dan lucu ini cerewet, anggun, dan umumnya pendiam.","Menawan, Mulia, Penuh Kasih",104,20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,Toy Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
